index,group,subject_id,sample_id
2,stool,3,ERR3452799
12,biopsy,4,ERR3452809
9,biopsy,1,ERR3452806
8,stool,9,ERR3452805
0,stool,1,ERR3452791
1,stool,2,ERR3452792
5,stool,6,ERR3452802
14,biopsy,6,ERR3452811
17,biopsy,9,ERR3452814
6,stool,7,ERR3452803
15,biopsy,7,ERR3452812
4,stool,5,ERR3452801
13,biopsy,5,ERR3452810
10,biopsy,2,ERR3452807
7,stool,8,ERR3452804
3,stool,4,ERR3452800
11,biopsy,3,ERR3452808
16,biopsy,8,ERR3452813
